Module,Enrichment_Number,Title,Description
Plastics & Polymers,1,Book reports,Students complete book reports on related topics.
Plastics & Polymers,2,Borate and glue,Students work with borate and glue materials.
Plastics & Polymers,3,Polymer density,Students explore and calculate polymer density.
Population Perspectives,1,Graphing Exponential Functions,Using a graphing calculator, students will graph systems of equations and compare them.
Population Perspectives,2,Linear & Exponential,Using a graphing calculator, students will graph different functions and compare them.
Population Perspectives,3,Population Statistics,Using a table of given statistics and projections for the U.S. population, students will analyze the table and answer questions about projected trends in U.S. population in the next half century.
Projectile Motion,1,Book reports,Students complete book reports on related topics.
Projectile Motion,2,Center of Gravity activity,Students explore center of gravity concepts through hands-on activities.
Projectile Motion,3,Straw Rocket Fins,Students design and test fins for their straw rockets.
Projectile Motion,4,Straw Rocket Launcher Experiment,Students conduct experiments with their straw rocket launcher.
Properties of Math,1,Book reports,Students complete book reports on related topics.
Properties of Math,2,Language translation,Students explore mathematical language and translation concepts.
Properties of Math,3,Number line football,Students play an interactive game using number lines.
Properties of Math,4,Paradoxes,Students explore mathematical paradoxes and logical puzzles.
Plants & Pollination,1,Giant Sequoias,Determine how much would the diameter of a tree increase each year when given specific circumstances.
Plants & Pollination,2,Photosynthesis,How many molecules of each compound are needed to balance the photosynthesis equation?
Plants & Pollination,3,Rootless Duckweed,Solve problems based on given scenarios.Plastics & Polymers,1,Book reports,Students complete book reports on related topics.
Plastics & Polymers,2,Borate and glue,Students work with borate and glue materials.
Plastics & Polymers,3,Polymer density,Students explore and calculate polymer density.
Rocks & Resources,1,Book reports,Students complete book reports on related topics.
Rocks & Resources,2,Green heroes,Students research and learn about environmental heroes.
Rocks & Resources,3,Copper Ore,Students explore copper ore and its uses.
Rocks & Resources,4,Microchip Resource Use,Students investigate the resources used in microchip manufacturing.
Soils,1,Career Research,Research related career fields and write a profile of the one that most interests you.
Statistical Analysis,1,Book reports,Students complete book reports on related topics.
Supply & Demand,1,Balsa and Styrofoam Gliders,Set up a system of equations to solve a given problem and determine how many of each item was sold during the year.
Supply & Demand,2,Four-Dimensional System of Equations,Use substitution to solve for each variable and determine how many of each model of paper airplane was sold.
Supply & Demand,3,Maximum Profit,Use a piece of graph paper or the graphic calculator to: Create a supply and demand chart for the plastic model airplane. Determine the equilibrium point of the supply and demand. Find the point on the demand line where the maximum profit can be made.
The Universe,1,Book report,Choose one of the books related to the module to write a report about.
Unsolved Mysteries,1,Blood Types,Students will determine what percent of students have the blood type AB based on a given scenario.
Unsolved Mysteries,2,DNA Samples,Students will determine how many grams of sugar are in the sample when given a scenario.
Unsolved Mysteries,3,Graphing Functions,Using a sheet of grid paper, students graph the functions displayed on-screen.
Unsolved Mysteries,4,Scaled Drawing,Students will create a final scaled drawing of a crime scene. Students will create a scaled drawing of a fictional crime scene.
